review_id,silver_labels,silver_scores
1650,"[np.int64(297), np.int64(341), np.int64(365)]","[0.6887394407369771, 0.9021073376314055, 0.6568347621463302]"
1651,"[np.int64(126), np.int64(191), np.int64(379)]","[0.6576005148056814, 0.77945612789356, 0.6542090708757188]"
1652,"[np.int64(43), np.int64(402), np.int64(511)]","[0.7338361451116626, 0.6756750633092822, 0.8304649438811035]"
1653,"[np.int64(269), np.int64(295), np.int64(358)]","[0.6205829859881535, 0.6780571596067562, 0.6321320116408377]"
1654,"[np.int64(338), np.int64(461), np.int64(473)]","[0.6319780344164334, 0.6595024694079362, 0.8212649241192952]"
1655,"[np.int64(85), np.int64(269), np.int64(501)]","[0.6717494822713632, 0.658342275888246, 0.6956757746936609]"
1656,"[np.int64(27), np.int64(88), np.int64(468)]","[0.6965845911989412, 0.6808965916594619, 0.6633101221801814]"
1657,"[np.int64(89), np.int64(208), np.int64(470)]","[0.7782429597341256, 0.6911298447436983, 0.6732990476659932]"
1658,"[np.int64(67), np.int64(501), np.int64(511)]","[0.6891953606439333, 0.6599190894271387, 0.699999960929159]"
1659,"[np.int64(121), np.int64(150), np.int64(421)]","[0.8158235489879957, 0.6853815834012755, 0.6938675909086887]"
1660,"[np.int64(68), np.int64(148), np.int64(338)]","[0.6709956634394746, 0.712026800974338, 0.614647144777116]"
1661,"[np.int64(76), np.int64(288), np.int64(395)]","[0.8515659292655053, 0.8121102947191114, 0.7288375870743863]"
1662,"[np.int64(65), np.int64(421), np.int64(461)]","[0.605004072870207, 0.7258229460389551, 0.6153763343419888]"
1663,"[np.int64(75), np.int64(249), np.int64(313)]","[0.7126840726531347, 0.6545636793236178, 0.7269606354043379]"
1664,"[np.int64(89), np.int64(345), np.int64(501)]","[0.6999999635227203, 0.6352654556317194, 0.6295803264593375]"
1665,"[np.int64(85), np.int64(261), np.int64(268)]","[0.7197056953373768, 0.6354278750430583, 0.7566494915657757]"
1666,"[np.int64(60), np.int64(80), np.int64(220)]","[0.584778914176296, 0.5892835717942196, 0.6076096840152566]"
1667,"[np.int64(9), np.int64(257), np.int64(346)]","[0.5912562949777019, 0.5472409338813823, 0.5517238319140497]"
1668,"[np.int64(113), np.int64(211), np.int64(232)]","[0.7122132581754173, 0.6167915687582585, 0.6863272739988648]"
1669,"[np.int64(65), np.int64(200), np.int64(467)]","[0.6781402888251256, 0.6871034284083197, 0.6482457004410793]"
1670,"[np.int64(293), np.int64(333), np.int64(388)]","[0.8146614451502275, 0.6612018918693905, 0.9191699947969729]"
1671,"[np.int64(422), np.int64(471), np.int64(504)]","[0.6999999630218663, 0.615750094300221, 0.6574036457472244]"
1672,"[np.int64(63), np.int64(67), np.int64(421)]","[0.8118523170475656, 0.6553528374116764, 0.6487896315363018]"
1673,"[np.int64(387), np.int64(465), np.int64(479)]","[0.6628998435375951, 0.6435950970935785, 0.6334231682626054]"
1674,"[np.int64(86), np.int64(173), np.int64(442)]","[0.6578601031207526, 0.7784707303985481, 0.6546630824262604]"
1675,"[np.int64(275), np.int64(333), np.int64(448)]","[0.6011278096047292, 0.6003611376130439, 0.5955685217489483]"
1676,"[np.int64(49), np.int64(88), np.int64(93)]","[0.7336401558333627, 0.6999999612543529, 0.6319042381646865]"
1677,"[np.int64(67), np.int64(88), np.int64(200)]","[0.5788756484341919, 0.6618738128228872, 0.5745858654665978]"
1678,"[np.int64(398), np.int64(490), np.int64(529)]","[0.7333923034184053, 0.6723528277994644, 0.7723791347333757]"
1679,"[np.int64(253), np.int64(470), np.int64(504)]","[0.7636343246688999, 0.6339474845647423, 0.6671203144484731]"
1680,"[np.int64(10), np.int64(61), np.int64(296)]","[0.7464084212774277, 0.8051092154055652, 0.6666963862855125]"
1681,"[np.int64(170), np.int64(369), np.int64(512)]","[0.7072720125350873, 0.8078424444310155, 0.6452603740537542]"
1682,"[np.int64(12), np.int64(72), np.int64(90)]","[0.6657557366481283, 0.6359023759228016, 0.8558580505623916]"
1683,"[np.int64(28), np.int64(232), np.int64(468)]","[0.7728319322041128, 0.6355609297652949, 0.6999999575803956]"
1684,"[np.int64(76), np.int64(200), np.int64(218)]","[0.6999999524342496, 0.6379164046001073, 0.5660430233908479]"
1685,"[np.int64(83), np.int64(218), np.int64(471)]","[0.6057665044785834, 0.6071747867689966, 0.6084505123976585]"
1686,"[np.int64(74), np.int64(279), np.int64(358)]","[0.6670878812772882, 0.6512543117184639, 0.6614907934479345]"
1687,"[np.int64(273), np.int64(279), np.int64(398)]","[0.6335926147192643, 0.6662738225081926, 0.6063260157802325]"
1688,"[np.int64(62), np.int64(249), np.int64(510)]","[0.6890127376655137, 0.6999999627688924, 0.6742049411828218]"
1689,"[np.int64(231), np.int64(298), np.int64(475)]","[0.6589364264357176, 0.725343293752587, 0.6621193178957688]"
1690,"[np.int64(25), np.int64(57), np.int64(86)]","[0.6403515808800924, 0.622802691010116, 0.656896607182737]"
1691,"[np.int64(169), np.int64(358), np.int64(475)]","[0.6487565518954046, 0.6448222788317078, 0.6020936034390437]"
1692,"[np.int64(66), np.int64(85), np.int64(424)]","[0.6065854311985313, 0.636127822487094, 0.6540931608634926]"
1693,"[np.int64(63), np.int64(85), np.int64(200)]","[0.6669863581686125, 0.648310811362255, 0.6611329459029659]"
1694,"[np.int64(28), np.int64(103), np.int64(510)]","[0.6251183154290791, 0.6266446185680792, 0.8114640555022066]"
1695,"[np.int64(231), np.int64(501), np.int64(511)]","[0.7927960704344262, 0.6546436936430287, 0.6999999665146092]"
1696,"[np.int64(230), np.int64(285), np.int64(383)]","[0.6747142249475382, 0.7682121083728864, 0.672880746011263]"
1697,"[np.int64(28), np.int64(32), np.int64(379)]","[0.7293289011880029, 0.9219094671798955, 0.6793839803407725]"
1698,"[np.int64(88), np.int64(297), np.int64(482)]","[0.6999999564787754, 0.6242897763370245, 0.6285847864946787]"
1699,"[np.int64(73), np.int64(298), np.int64(318)]","[0.6035068425083969, 0.7871472887927162, 0.6133658997991575]"
1700,"[np.int64(269), np.int64(470), np.int64(471)]","[0.6770512955792848, 0.9023026286596456, 0.6341665175773848]"
1701,"[np.int64(32), np.int64(47), np.int64(170)]","[0.8712188846305461, 0.6952123515976776, 0.7267977734149205]"
1702,"[np.int64(246), np.int64(395), np.int64(422)]","[0.8603092428568206, 0.5961806280401698, 0.6999999602234935]"
1703,"[np.int64(249), np.int64(358), np.int64(473)]","[0.6583606948495215, 0.699999962302177, 0.7548660833281815]"
1704,"[np.int64(25), np.int64(39), np.int64(47)]","[0.6749021900280793, 0.6492158804147434, 0.6093046941544978]"
1705,"[np.int64(133), np.int64(157), np.int64(208)]","[0.788829548474444, 0.6901526271088542, 0.6875081231708944]"
1706,"[np.int64(268), np.int64(367), np.int64(379)]","[0.6365702416633393, 0.6576455830305307, 0.6466316757628319]"
1707,"[np.int64(32), np.int64(377), np.int64(479)]","[0.6895552197253294, 0.6999999629393262, 0.6394501099510276]"
1708,"[np.int64(209), np.int64(465), np.int64(479)]","[0.6958937392383053, 0.6819462239144942, 0.6750611110037972]"
1709,"[np.int64(162), np.int64(276), np.int64(503)]","[0.6201285795492036, 0.667783362153759, 0.63081087426319]"
1710,"[np.int64(90), np.int64(301), np.int64(377)]","[0.6762690835127009, 0.6116820321394294, 0.6999999606377554]"
1711,"[np.int64(88), np.int64(269), np.int64(512)]","[0.6885595039114373, 0.6334566134819686, 0.8348547503371552]"
1712,"[np.int64(32), np.int64(93), np.int64(345)]","[0.7984072096029652, 0.6497545169983286, 0.6404091540664733]"
1713,"[np.int64(27), np.int64(57), np.int64(276)]","[0.6848147137534708, 0.6450281068298932, 0.7726493814908946]"
1714,"[np.int64(10), np.int64(24), np.int64(39)]","[0.6510948378817477, 0.6826407209723492, 0.5927637874869165]"
1715,"[np.int64(89), np.int64(218), np.int64(397)]","[0.6999999613946698, 0.7706985887786344, 0.6743935345236491]"
1716,"[np.int64(173), np.int64(333), np.int64(442)]","[0.7049976275508608, 0.686370717962992, 0.6631958799740487]"
1717,"[np.int64(130), np.int64(150), np.int64(468)]","[0.7299919885480184, 0.6331132409562805, 0.6938090338428451]"
1718,"[np.int64(19), np.int64(383), np.int64(504)]","[0.7433692763011506, 0.6999999607846523, 0.6685240027882595]"
1719,"[np.int64(32), np.int64(85), np.int64(364)]","[0.932037801439022, 0.6884931052155877, 0.6763095465412536]"
1720,"[np.int64(90), np.int64(364), np.int64(473)]","[0.7229153140176309, 0.6999999590521392, 0.8175238686503299]"
1721,"[np.int64(68), np.int64(148), np.int64(530)]","[0.6788619112517131, 0.6534074221592436, 0.6677989676338513]"
1722,"[np.int64(442), np.int64(461), np.int64(502)]","[0.6518089267761692, 0.6538594509585013, 0.6398262927279507]"
1723,"[np.int64(145), np.int64(264), np.int64(327)]","[0.6967371489595535, 0.6570061852565239, 0.6426770104616722]"
1724,"[np.int64(39), np.int64(84), np.int64(162)]","[0.6999999474875559, 0.6594348908790717, 0.6437453051888206]"
1725,"[np.int64(32), np.int64(79), np.int64(147)]","[0.7977454628088524, 0.6375426159845151, 0.6842485604656411]"
1726,"[np.int64(66), np.int64(370), np.int64(470)]","[0.6666664528258835, 0.5934416005092308, 0.8506905403630072]"
1727,"[np.int64(39), np.int64(82), np.int64(171)]","[0.6945802484109567, 0.7391320684723182, 0.6898559592762034]"
1728,"[np.int64(173), np.int64(442), np.int64(530)]","[0.7596096091755355, 0.7271457399711962, 0.6671919550679867]"
1729,"[np.int64(253), np.int64(301), np.int64(367)]","[0.6492368336474494, 0.6844769760776748, 0.6448340137600602]"
1730,"[np.int64(208), np.int64(405), np.int64(465)]","[0.6656062967464148, 0.6996458815294823, 0.6711141809204073]"
1731,"[np.int64(39), np.int64(98), np.int64(335)]","[0.656733540094188, 0.6406967459992094, 0.7301708806907573]"
1732,"[np.int64(197), np.int64(364), np.int64(461)]","[0.6199852928425739, 0.6192561673804546, 0.6316277538312218]"
1733,"[np.int64(75), np.int64(84), np.int64(420)]","[0.6249281948469121, 0.620666707999432, 0.7730351634774645]"
1734,"[np.int64(171), np.int64(279), np.int64(530)]","[0.7867676690639092, 0.6607686084263361, 0.6764633960627139]"
1735,"[np.int64(57), np.int64(88), np.int64(265)]","[0.6999999583717802, 0.8580812018791335, 0.6937097629311174]"
1736,"[np.int64(43), np.int64(242), np.int64(448)]","[0.6512771533858728, 0.8245997615041052, 0.696237559794754]"
1737,"[np.int64(87), np.int64(246), np.int64(345)]","[0.6498336697788175, 0.6999999670956512, 0.6448267865430771]"
1738,"[np.int64(279), np.int64(422), np.int64(511)]","[0.647621590797856, 0.6949325660424784, 0.7199535019982856]"
1739,"[np.int64(157), np.int64(275), np.int64(279)]","[0.673725042073885, 0.7137106555437396, 0.6833893470903541]"
1740,"[np.int64(7), np.int64(32), np.int64(157)]","[0.6174065766188861, 0.9075542355468993, 0.5955292964974028]"
1741,"[np.int64(65), np.int64(264), np.int64(442)]","[0.6707915611111357, 0.6759574775349995, 0.601668040839371]"
1742,"[np.int64(249), np.int64(391), np.int64(510)]","[0.6608337592690257, 0.7276761774397882, 0.6551263805963514]"
1743,"[np.int64(269), np.int64(297), np.int64(465)]","[0.6123782128090653, 0.5866446120409035, 0.6455060453039264]"
1744,"[np.int64(162), np.int64(256), np.int64(318)]","[0.6305788318848485, 0.6261618237586832, 0.6244487096815665]"
1745,"[np.int64(43), np.int64(163), np.int64(510)]","[0.6858431141772178, 0.6470516399921253, 0.6999999548996989]"
1746,"[np.int64(364), np.int64(387), np.int64(465)]","[0.6177667315052835, 0.6433541719947455, 0.6717065347263359]"
1747,"[np.int64(105), np.int64(121), np.int64(378)]","[0.6371836530262847, 0.6206273948217317, 0.663924175757618]"
1748,"[np.int64(269), np.int64(288), np.int64(509)]","[0.6723719080865955, 0.820678838044875, 0.6764327100998127]"
1749,"[np.int64(157), np.int64(217), np.int64(333)]","[0.8939444619458319, 0.6434466019060503, 0.6528781167584234]"
1750,"[np.int64(79), np.int64(203), np.int64(451)]","[0.6203273034103938, 0.7169714366340576, 0.6535182838311357]"
1751,"[np.int64(180), np.int64(261), np.int64(471)]","[0.8253830832001413, 0.6382313418796208, 0.6316657764577746]"
1752,"[np.int64(80), np.int64(338), np.int64(448)]","[0.6047762082712097, 0.5796663465808536, 0.737285430968438]"
1753,"[np.int64(63), np.int64(208), np.int64(364)]","[0.7656901277722297, 0.6999999547373809, 0.6626157101772175]"
1754,"[np.int64(137), np.int64(240), np.int64(422)]","[0.7242488168901102, 0.7036462209335863, 0.6999999585426687]"
1755,"[np.int64(377), np.int64(387), np.int64(422)]","[0.6999999665536056, 0.6084496343544216, 0.660418906680175]"
1756,"[np.int64(422), np.int64(481), np.int64(504)]","[0.6999999565750882, 0.7951411592970034, 0.6556204852076079]"
1757,"[np.int64(83), np.int64(383), np.int64(502)]","[0.804862336037039, 0.6999999618571603, 0.68702041748236]"
1758,"[np.int64(268), np.int64(305), np.int64(504)]","[0.8479128887399294, 0.6667669605098225, 0.6994843102253522]"
1759,"[np.int64(178), np.int64(232), np.int64(318)]","[0.6151043042723019, 0.6213099271508078, 0.6277681807708463]"
1760,"[np.int64(126), np.int64(191), np.int64(367)]","[0.6901405384126497, 0.6393850258184843, 0.6703662257659914]"
1761,"[np.int64(369), np.int64(502), np.int64(503)]","[0.7640991850407604, 0.6654497717908905, 0.6693758702813529]"
1762,"[np.int64(91), np.int64(358), np.int64(511)]","[0.7400784267730037, 0.6551542943851583, 0.6893964409201152]"
1763,"[np.int64(157), np.int64(387), np.int64(470)]","[0.6839111416968197, 0.6947806810533013, 0.6999999604294213]"
1764,"[np.int64(211), np.int64(229), np.int64(409)]","[0.6123057206273287, 0.6301877237085245, 0.5917330430988832]"
1765,"[np.int64(30), np.int64(333), np.int64(530)]","[0.6791295687048501, 0.6229146653203608, 0.6759298716296508]"
1766,"[np.int64(218), np.int64(279), np.int64(370)]","[0.6558550564047375, 0.6869688135879283, 0.6289061448492212]"
1767,"[np.int64(180), np.int64(208), np.int64(377)]","[0.755492567715415, 0.6479781369228818, 0.6999999614678832]"
1768,"[np.int64(242), np.int64(421), np.int64(473)]","[0.6620115928431555, 0.694426204603805, 0.8540309539611339]"
1769,"[np.int64(65), np.int64(335), np.int64(471)]","[0.6942758572523858, 0.7811822312487039, 0.6388000299713329]"
1770,"[np.int64(80), np.int64(242), np.int64(510)]","[0.6417019081941596, 0.6172078688207053, 0.6999999539776833]"
1771,"[np.int64(65), np.int64(71), np.int64(269)]","[0.6235404500653119, 0.6295500839982373, 0.6373070462830918]"
1772,"[np.int64(338), np.int64(442), np.int64(448)]","[0.712028934000443, 0.9154988287105941, 0.7398679580586855]"
1773,"[np.int64(232), np.int64(479), np.int64(501)]","[0.6410563362950098, 0.6730282705285043, 0.6390163268998703]"
1774,"[np.int64(48), np.int64(81), np.int64(126)]","[0.6951316841142241, 0.6023442234409317, 0.5957332304051998]"
1775,"[np.int64(113), np.int64(470), np.int64(506)]","[0.7399057527360231, 0.6647628251924842, 0.6931369944009032]"
1776,"[np.int64(82), np.int64(91), np.int64(327)]","[0.6751703195689192, 0.6772054749161392, 0.6703397443996386]"
1777,"[np.int64(335), np.int64(338), np.int64(473)]","[0.7931283340951559, 0.670008057024304, 0.8709803422887656]"
1778,"[np.int64(288), np.int64(297), np.int64(501)]","[0.8158682130032002, 0.6491359475266045, 0.7059257458779482]"
1779,"[np.int64(90), np.int64(364), np.int64(518)]","[0.7548954447175705, 0.6731188820448811, 0.6769409021607395]"
1780,"[np.int64(47), np.int64(163), np.int64(506)]","[0.6306721659706979, 0.6375295828668875, 0.6721736757040646]"
1781,"[np.int64(209), np.int64(257), np.int64(362)]","[0.7172910845539958, 0.656052984802482, 0.6768415402474193]"
1782,"[np.int64(30), np.int64(232), np.int64(518)]","[0.710633216138333, 0.6189287871516658, 0.6216649498011015]"
1783,"[np.int64(8), np.int64(369), np.int64(453)]","[0.665977299880171, 0.7385873929622986, 0.6543608747971608]"
1784,"[np.int64(80), np.int64(276), np.int64(448)]","[0.6224624711814151, 0.6116525696637793, 0.5889718019569885]"
1785,"[np.int64(148), np.int64(275), np.int64(506)]","[0.7245730506087216, 0.6033508928665979, 0.6522376526062115]"
1786,"[np.int64(180), np.int64(424), np.int64(475)]","[0.7187310710948962, 0.6403548810686857, 0.6620782527362432]"
1787,"[np.int64(209), np.int64(490), np.int64(522)]","[0.836045344889498, 0.7319609153604123, 0.7018380681416432]"
1788,"[np.int64(422), np.int64(471), np.int64(504)]","[0.699999961394463, 0.6109653445204057, 0.6583484070686472]"
1789,"[np.int64(89), np.int64(279), np.int64(410)]","[0.6999999644243692, 0.6758568133529694, 0.652302057411076]"
1790,"[np.int64(383), np.int64(422), np.int64(470)]","[0.6507541123666568, 0.6999999604348235, 0.6371493001791787]"
1791,"[np.int64(65), np.int64(232), np.int64(269)]","[0.6412576090226209, 0.6415726609599405, 0.6451315017836909]"
1792,"[np.int64(12), np.int64(61), np.int64(90)]","[0.6827188209545548, 0.6538617226941659, 0.9622793108846741]"
1793,"[np.int64(24), np.int64(180), np.int64(481)]","[0.7314153144911963, 0.678087643536438, 0.7784124011302613]"
1794,"[np.int64(98), np.int64(171), np.int64(179)]","[0.6582756739346853, 0.6751680223586135, 0.661306035595343]"
1795,"[np.int64(358), np.int64(364), np.int64(410)]","[0.6313515100258178, 0.6354831965184368, 0.6172491780479367]"
1796,"[np.int64(133), np.int64(232), np.int64(256)]","[0.7110295637848092, 0.6343480189962156, 0.6298422504246122]"
1797,"[np.int64(83), np.int64(249), np.int64(502)]","[0.9184114027937572, 0.6723651112632126, 0.7111849799842872]"
1798,"[np.int64(66), np.int64(76), np.int64(421)]","[0.7212024316759608, 0.6993171074220897, 0.6575669931507406]"
1799,"[np.int64(80), np.int64(461), np.int64(468)]","[0.6332007723349576, 0.6230906779132622, 0.6930345465429812]"
1800,"[np.int64(67), np.int64(279), np.int64(358)]","[0.6610312926608514, 0.6978316268478003, 0.6915786619701574]"
1801,"[np.int64(93), np.int64(261), np.int64(365)]","[0.6383793823443767, 0.6100023629695763, 0.6486479626004903]"
1802,"[np.int64(358), np.int64(381), np.int64(471)]","[0.6885013240297796, 0.8561968989442232, 0.6805671088101983]"
1803,"[np.int64(76), np.int64(288), np.int64(395)]","[0.7995834924933655, 0.8864841651525472, 0.756149168011433]"
1804,"[np.int64(63), np.int64(377), np.int64(410)]","[0.797923063568224, 0.6999999659556213, 0.6129440313486578]"
1805,"[np.int64(82), np.int64(270), np.int64(327)]","[0.6714308999350206, 0.6964993805052034, 0.6649610381635497]"
1806,"[np.int64(89), np.int64(246), np.int64(468)]","[0.6999999591399346, 0.8753567380824879, 0.6942881688927169]"
1807,"[np.int64(63), np.int64(163), np.int64(275)]","[0.8602451321123725, 0.6709023944532206, 0.6742815371175503]"
1808,"[np.int64(78), np.int64(383), np.int64(479)]","[0.723246282746784, 0.6999999614222864, 0.6737012699422436]"
1809,"[np.int64(218), np.int64(370), np.int64(422)]","[0.648698020064774, 0.5925098638264988, 0.6999999599383258]"
1810,"[np.int64(39), np.int64(304), np.int64(343)]","[0.6196372313846583, 0.6317622245842514, 0.6294618767042838]"
1811,"[np.int64(258), np.int64(387), np.int64(421)]","[0.7114593198574494, 0.6508422621748026, 0.7581748016313425]"
1812,"[np.int64(76), np.int64(288), np.int64(395)]","[0.7413015329270237, 0.7031292277134045, 0.6746064715642046]"
1813,"[np.int64(72), np.int64(318), np.int64(335)]","[0.6827840875274636, 0.6347337869585848, 0.6999999659592171]"
1814,"[np.int64(246), np.int64(370), np.int64(442)]","[0.6999999606000666, 0.6584820486714038, 0.7872160576715796]"
1815,"[np.int64(25), np.int64(333), np.int64(395)]","[0.6816094689587802, 0.6661070278418408, 0.6926012134514214]"
1816,"[np.int64(176), np.int64(358), np.int64(479)]","[0.8245272343481582, 0.6653266253061485, 0.6496729102441654]"
1817,"[np.int64(32), np.int64(85), np.int64(383)]","[0.9719401424621273, 0.6793944759180054, 0.6940856377712009]"
1818,"[np.int64(206), np.int64(365), np.int64(369)]","[0.6743384774101324, 0.5920822691527895, 0.8399362591642425]"
1819,"[np.int64(163), np.int64(383), np.int64(479)]","[0.8113261626525827, 0.6999999615684019, 0.666456247195707]"
1820,"[np.int64(174), np.int64(345), np.int64(465)]","[0.6389794581412258, 0.6481628420647157, 0.6736232784071353]"
1821,"[np.int64(61), np.int64(249), np.int64(468)]","[0.6718020586816613, 0.6750228784497623, 0.6661017533884687]"
1822,"[np.int64(253), np.int64(339), np.int64(345)]","[0.6197979590009264, 0.6248112980367805, 0.6529928638892812]"
1823,"[np.int64(49), np.int64(79), np.int64(86)]","[0.7464897643244517, 0.6002980501993042, 0.5975257546054827]"
1824,"[np.int64(461), np.int64(502), np.int64(511)]","[0.6690915702244594, 0.6476566214301047, 0.6999999605083288]"
1825,"[np.int64(79), np.int64(242), np.int64(364)]","[0.6351935764523892, 0.8357849340724651, 0.6479340067005994]"
1826,"[np.int64(27), np.int64(89), np.int64(530)]","[0.610475953207157, 0.6999999631352228, 0.6401066892944566]"
1827,"[np.int64(65), np.int64(208), np.int64(304)]","[0.6796486023555012, 0.6897133761458468, 0.6219947482723391]"
1828,"[np.int64(145), np.int64(157), np.int64(264)]","[0.6714601949793723, 0.6573501941516687, 0.727474681065418]"
1829,"[np.int64(19), np.int64(70), np.int64(465)]","[0.7076643817389463, 0.729042876657183, 0.684728182135504]"
1830,"[np.int64(43), np.int64(253), np.int64(387)]","[0.7017621280681503, 0.7706319660644122, 0.6727348812798181]"
1831,"[np.int64(87), np.int64(103), np.int64(170)]","[0.635260134758379, 0.6234680071419859, 0.6891393786901872]"
1832,"[np.int64(40), np.int64(285), np.int64(466)]","[0.6218055162781795, 0.6336263593310383, 0.6405488058771188]"
1833,"[np.int64(93), np.int64(335), np.int64(473)]","[0.6670329821886881, 0.7414364411597063, 0.8264582569633154]"
1834,"[np.int64(77), np.int64(229), np.int64(381)]","[0.6786862106226783, 0.63302959303625, 0.6229542425261131]"
1835,"[np.int64(163), np.int64(207), np.int64(242)]","[0.611896403262613, 0.6529028124585259, 0.7701681292004495]"
1836,"[np.int64(87), np.int64(227), np.int64(475)]","[0.7001580262664377, 0.6217700022336538, 0.6081988788198585]"
1837,"[np.int64(339), np.int64(343), np.int64(453)]","[0.613934686508115, 0.6024928341416498, 0.6058305097951905]"
1838,"[np.int64(27), np.int64(133), np.int64(327)]","[0.6296561957362712, 0.7312968564081996, 0.6214144380830607]"
1839,"[np.int64(87), np.int64(120), np.int64(208)]","[0.6384725354771827, 0.6338604656219955, 0.6850468344333847]"
1840,"[np.int64(39), np.int64(242), np.int64(293)]","[0.6716462830227711, 0.6967266013162102, 0.6655858801570602]"
1841,"[np.int64(133), np.int64(321), np.int64(385)]","[0.8310495382824177, 0.6581295983131626, 0.6783293505214754]"
1842,"[np.int64(83), np.int64(336), np.int64(405)]","[0.8217055092302494, 0.7504595253064186, 0.8009867949224381]"
1843,"[np.int64(25), np.int64(246), np.int64(395)]","[0.6516343382346136, 0.8832595907873662, 0.6630556106865633]"
1844,"[np.int64(89), np.int64(128), np.int64(470)]","[0.6918069914433306, 0.6454995315290368, 0.6999999609058064]"
1845,"[np.int64(81), np.int64(232), np.int64(297)]","[0.6561515865006895, 0.622253283393109, 0.640567178114673]"
1846,"[np.int64(40), np.int64(142), np.int64(475)]","[0.6388342174511266, 0.637447808715109, 0.6179987540752417]"
1847,"[np.int64(25), np.int64(79), np.int64(448)]","[0.6789916793204552, 0.6648252424648675, 0.6436184814248451]"
1848,"[np.int64(15), np.int64(86), np.int64(163)]","[0.6658091224228833, 0.6308001623403808, 0.6200358963286645]"
1849,"[np.int64(63), np.int64(87), np.int64(345)]","[0.6390414945222159, 0.6441084934904847, 0.6262938690579416]"
1850,"[np.int64(346), np.int64(369), np.int64(485)]","[0.629464246268223, 0.7712610492707346, 0.6347781472601732]"
1851,"[np.int64(57), np.int64(207), np.int64(503)]","[0.6532563867467582, 0.6261882592356988, 0.780260354300342]"
1852,"[np.int64(23), np.int64(47), np.int64(54)]","[0.6822165781301583, 0.7363090339692452, 0.7811747536274161]"
1853,"[np.int64(380), np.int64(507), np.int64(509)]","[0.6294472782146597, 0.773459140921841, 0.7188948292572837]"
1854,"[np.int64(89), np.int64(266), np.int64(361)]","[0.6999999576079327, 0.5613745839037408, 0.5855976961827177]"
1855,"[np.int64(293), np.int64(364), np.int64(475)]","[0.875416137278074, 0.6603473037773301, 0.661948827645033]"
1856,"[np.int64(88), np.int64(193), np.int64(530)]","[0.6559899092896451, 0.6457008933361879, 0.6488031622028293]"
1857,"[np.int64(32), np.int64(76), np.int64(339)]","[0.7752615210323428, 0.6787887987376255, 0.6579523762433628]"
1858,"[np.int64(90), np.int64(461), np.int64(473)]","[0.7141751395303593, 0.6844275006601679, 0.8380510496686477]"
1859,"[np.int64(90), np.int64(377), np.int64(424)]","[0.6794011530296259, 0.6999999613943172, 0.5974726336392863]"
1860,"[np.int64(25), np.int64(200), np.int64(345)]","[0.7765212283658809, 0.6245015573844725, 0.6457919602381045]"
1861,"[np.int64(163), np.int64(506), np.int64(530)]","[0.6999999582156057, 0.623754340088914, 0.6157954504687352]"
1862,"[np.int64(169), np.int64(208), np.int64(512)]","[0.6418367112510079, 0.669352719509366, 0.645558481341088]"
1863,"[np.int64(98), np.int64(218), np.int64(461)]","[0.6519467264358095, 0.6531430511111135, 0.6508800241738648]"
1864,"[np.int64(129), np.int64(231), np.int64(356)]","[0.6382037798435598, 0.6867171393346005, 0.735054298564517]"
1865,"[np.int64(157), np.int64(470), np.int64(530)]","[0.6531492843653572, 0.6952821290971428, 0.7913003680816048]"
1866,"[np.int64(200), np.int64(235), np.int64(453)]","[0.6009534249142922, 0.6262625146119778, 0.6886304098852636]"
1867,"[np.int64(61), np.int64(79), np.int64(448)]","[0.6216826812352562, 0.6268346274342596, 0.6363508851473657]"
1868,"[np.int64(6), np.int64(103), np.int64(435)]","[0.6352084681621708, 0.6326460494572836, 0.6392694106356246]"
1869,"[np.int64(87), np.int64(88), np.int64(510)]","[0.6679184690576305, 0.6999999556552031, 0.635724367839066]"
1870,"[np.int64(93), np.int64(424), np.int64(475)]","[0.6308155307677148, 0.6579728775177042, 0.603661478732946]"
1871,"[np.int64(288), np.int64(380), np.int64(509)]","[0.7784357611892279, 0.6959405693234897, 0.6933858722375816]"
1872,"[np.int64(279), np.int64(387), np.int64(501)]","[0.6379498694942902, 0.646891379434162, 0.7255804094876243]"
1873,"[np.int64(293), np.int64(364), np.int64(377)]","[0.7304099191964939, 0.6151954671473003, 0.6999999613225105]"
1874,"[np.int64(405), np.int64(510), np.int64(511)]","[0.7093871793935516, 0.6738598112890564, 0.6976840255610806]"
1875,"[np.int64(57), np.int64(83), np.int64(387)]","[0.6509366253872916, 0.6608811525407327, 0.8339679801195556]"
1876,"[np.int64(76), np.int64(93), np.int64(380)]","[0.6960539379149155, 0.649646252378954, 0.640965977306213]"
1877,"[np.int64(28), np.int64(50), np.int64(262)]","[0.8569946182990484, 0.7485665129349282, 0.7293381408973317]"
1878,"[np.int64(172), np.int64(217), np.int64(293)]","[0.6286103863385352, 0.6243679684470808, 0.87809800037448]"
1879,"[np.int64(88), np.int64(232), np.int64(530)]","[0.911517641218508, 0.6482486690646914, 0.69999996141897]"
1880,"[np.int64(83), np.int64(148), np.int64(157)]","[0.808338083989216, 0.6853386287628959, 0.680759961522399]"
1881,"[np.int64(335), np.int64(461), np.int64(473)]","[0.7346084381655787, 0.6593839564342266, 0.8451572327390963]"
1882,"[np.int64(225), np.int64(345), np.int64(504)]","[0.6990596899665436, 0.6574153455276784, 0.6649857398967126]"
1883,"[np.int64(246), np.int64(468), np.int64(479)]","[0.6999999593569828, 0.6813572655066512, 0.6853439339730523]"
